source_id,layer,jurisdiction,authority_type,issuer,title,url,effective_or_decision_date,last_verified,pinpoint,use,boundary
M001,recording,federal,statute,U.S. Congress,"18 U.S.C. § 2510 — Definitions",https://uscode.house.gov/view.xhtml?req=(title:18%20section:2510%20edition:prelim),,2026-08-07,"§ 2510(1)-(4); (12); (17)","Definitions for wire oral electronic communication and interception","Federal definitions do not resolve state law or a specific configuration"
M002,recording,federal,statute,U.S. Congress,"18 U.S.C. § 2511 — Interception and disclosure prohibited",https://uscode.house.gov/view.xhtml?req=(title:18%20section:2511%20edition:prelim),,2026-08-07,"§ 2511(1); (2)(d)","Federal prohibition and participant-consent/criminal-or-tortious-purpose provision","Does not displace stricter or otherwise applicable state law"
M003,recording,federal,statute,U.S. Congress,"18 U.S.C. § 2520 — Recovery of civil damages",https://uscode.house.gov/view.xhtml?req=(title:18%20section:2520%20edition:prelim),,2026-08-07,"§ 2520(a)-(c)","Potential civil action and remedies","Remedy analysis remains packet-specific"
M004,labor,federal,statute,National Labor Relations Board,"National Labor Relations Act",https://www.nlrb.gov/guidance/key-reference-materials/national-labor-relations-act,1935,2026-08-07,"§§ 7; 8(a)(1); 8(d)","Protected concerted activity and collective-bargaining overlay","Coverage facts and current Board/court precedent require specific review"
M005,labor,federal,agency guidance,National Labor Relations Board,"Concerted Activity",https://www.nlrb.gov/about-nlrb/rights-we-protect/the-law/employees/concerted-activity,,2026-08-07,"protected/concerted activity explanation","Official orientation to protected concerted activity","Guidance is not a substitute for adjudicatory authority"
M006,labor,federal,agency memorandum,National Labor Relations Board General Counsel,"GC Memorandum 25-07 — Surreptitious Recordings of Collective-Bargaining Sessions",https://www.nlrb.gov/news-outreach/news-story/nlrb-acting-general-counsel-issues-memo-on-surreptitious-recording-of,2025-06-25,2026-08-07,"memorandum proposition identified in official release","Current enforcement position concerning secret bargaining-session recording","General Counsel position is not a Board holding and later history must be checked"
M007,accessibility,federal,official guidance,U.S. Department of Justice,"ADA Requirements: Effective Communication",https://www.ada.gov/resources/effective-communication/,2014-01-01,2026-08-07,"auxiliary aids; primary consideration; effective communication","Title II/III effective-communication design overlay","Applicability and appropriate aid depend on entity context and communication need"
M008,cross_border,European Union,regulation,European Parliament and Council,"Regulation (EU) 2016/679 (GDPR)",https://eur-lex.europa.eu/eli/reg/2016/679/oj/eng,2018-05-25,2026-08-07,"Arts. 5-6; 9; 12-22; 28; 32-36; 44-49","Processing transparency rights security and international-transfer framework","Territorial scope lawful basis derogations and transfer mechanism require packet-specific analysis"
M009,recording,Hawaii,statute,Hawaii State Legislature,"HRS § 803-41 — Definitions",https://data.capitol.hawaii.gov/hrscurrent/Vol14_Ch0701-0853/HRS0803/HRS_0803-0041.htm,,2026-08-07,"definitions of intercept; oral communication; wire communication; electronic communication","Classifies covered communications and expectation-of-privacy element for oral communications","Classification and justified expectation remain fact-specific"
M010,recording,Hawaii,statute,Hawaii State Legislature,"HRS § 803-42 — Interception access and disclosure prohibited",https://data.capitol.hawaii.gov/hrscurrent/Vol14_Ch0701-0853/HRS0803/HRS_0803-0042.htm,,2026-08-07,"§ 803-42(a)(1)-(4); (b)(3)(A); (b)(4)","Prohibition penalty and participant/prior-consent provisions","Participant consent does not resolve criminal-or-tortious purpose other laws later processing or multistate conflicts"
M011,recording,Hawaii,statute,Hawaii State Legislature,"HRS § 803-48 — Recovery of civil damages authorized",https://data.capitol.hawaii.gov/hrscurrent/Vol14_Ch0701-0853/HRS0803/HRS_0803-0048.htm,,2026-08-07,"§ 803-48(1)-(2)","Civil cause of action statutory or actual damages punitive damages fees costs and equitable relief","Remedy availability and amount remain claim-specific"
M012,privacy,Hawaii,constitution,People of Hawaii,"Hawaii Constitution article I sections 6 and 7",https://data.capitol.hawaii.gov/hrscurrent/Vol01_Ch0001-0042F/05-CONST/CONST_.htm,1978,2026-08-07,"art. I §§ 6-7","Registers express privacy and search/seizure/invasion-of-privacy overlays","Application differs for state action and private conduct and requires qualified analysis"
M013,recording,Hawaii,judicial decision,Hawaii Intermediate Court of Appeals,"State v. Aquino-Martinez CAAP-24-0000354 Summary Disposition Order",https://www.courts.state.hi.us/wp-content/uploads/2026/04/CAAP-24-0000354sdo.pdf,2026-04-07,2026-08-07,"pp. 3-5; HRS § 803-42(b)(4); discussion of State v. Lee","Recent official confirmation of consensual participant-recording analysis in a law-enforcement setting","Not published in West reports; law-enforcement facts and subsection (b)(4) do not establish private-workplace clearance"
M014,recording,California,statute,California Legislature,"California Penal Code § 632 — confidential communications",https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=632.,,2026-08-08,"§ 632(a)-(c); (d)-(f)","All-parties rule for intentionally recording a confidential communication and statutory definition/exclusions","Confidentiality reasonable expectations consent exceptions and medium remain fact-specific"
M015,recording,California,statute,California Legislature,"California Penal Code § 632.7 — cellular and cordless communications",https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=632.7.,,2026-08-08,"§ 632.7(a)-(c)","All-parties consent rule for covered cellular/cordless telephone communications and stated exceptions","Device path statutory exceptions consent and actual communication require packet-specific proof"
M016,recording,California,statute,California Legislature,"California Penal Code § 637.2 — civil action",https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=637.2,,2026-08-08,"§ 637.2(a)-(c)","Civil damages and injunctive relief for specified CIPA violations","Claim standing violation remedy and any statutory change remain case-specific"
M017,recording,California,judicial decision,California Supreme Court,"Kearney v. Salomon Smith Barney Inc. 39 Cal.4th 95",https://law.justia.com/cases/california/supreme-court/2006/s124739.html,2006-07-13,2026-08-08,"39 Cal.4th at 100-105; 118-130","California privacy interest and restrained choice-of-law treatment for interstate calls involving California clients","Secondary-host reproduction of published opinion; actual locations facts later authority and multistate conflicts require review"
