search_date,researcher,database_or_site,exact_query,filters,date_range,jurisdiction,results_screened,items_preserved,new_authority_or_theme,follow_up,stopping_rule_status
2026-08-04,Codex,Web search,"site:bar association official ethics opinion generative AI lawyers 2024 state bar",official-domain preference,2023-2026,United States,18,4,"North Carolina opinion; Arizona court white paper; California replacement guidance; importance of authority labels","Acquire full text and pinpoints; expand by jurisdiction",open
2026-08-04,Codex,Web search,"official ethics opinion generative AI lawyers site:dcbar.org",domain dcbar.org,2023-2026,District of Columbia,7,1,"D.C. Ethics Opinion 388",Review full opinion and map rule-specific pinpoints,open
2026-08-04,Codex,Web search,"official generative AI ethics lawyers site:pabar.org",domain pabar.org,2023-2026,Pennsylvania,2,1,"Joint Formal Opinion 2024-200",Acquire full opinion PDF and verify issuing bodies and pinpoints,open
2026-08-04,Codex,Web search,"official generative AI ethics opinion lawyers site:kybar.org",domain kybar.org,2023-2026,Kentucky,10,2,"KBA E-457 plus later sample AI policies","Use opinion as authority; policies only as implementation examples",open
2026-08-04,Codex,Web search,"official generative AI guidance lawyers site:mass.gov",domain mass.gov,2023-2026,United States states,4,1,"Official Massachusetts library guide maintains a 50-state discovery survey","Follow every jurisdiction link and verify at originating authority",open
2026-08-04,Codex,Web search,"official generative AI ethics opinion lawyers site:michbar.org RI-392",domain michbar.org,2025-2026,Michigan,3,1,"Michigan RI-392 dated 2025-12-12","Acquire opinion full text and pinpoint before relying on propositions",open
2026-08-04,Codex,Web search,"site:nist.gov generative AI summarization evaluation hallucination human review primary study",official NIST domain,2023-2026,cross-sector,8,3,"NIST AI 600-1 plus 2026 post-deployment monitoring report; no intake validation study","Map exact actions and limitations; continue scholarly database search",open
2026-08-04,Codex,Web search,"site:arxiv.org legal text summarization hallucination human evaluation study",primary research and legal domain,2023-2026,legal summarization,12,2,"2026 legal-deposition verification prototype; patent-summary comparative study","Backchain citations; distinguish prototypes from tested interventions",open
2026-08-04,Codex,ArXiv,"Supporting Humans in Evaluating AI Summaries of Legal Depositions",full text,2026,legal depositions,1,1,"nine-transcript prototype makes omissions and unsupported claims visible but reports no user outcome trial","Do not generalize to prospective-client intake; record funding and evaluator limitations",open
2026-08-04,Codex,ArXiv,"A Comparative Study of Quality Evaluation Methods for Text Summarization",full text,2024,patent documents,1,1,"error analysis separates incompleteness hallucination and low abstractiveness","Use only for evaluation-design rationale; no intake error-rate inference",open
2026-08-06,Codex,Arizona Supreme Court,"Generative AI Ethical Best Practices lawyers judges prospective clients chatbot",official court domain,2024-2026,Arizona,2,1,"2024 official guidance expressly addresses disclosure in prospective-client AI communications","Separately verify controlling Arizona ER 1.18 before final jurisdiction card",open
2026-08-06,Codex,Kentucky Bar Association,"KBA E-457 artificial intelligence ethics opinion",official bar domain,2024-2026,Kentucky,3,1,"formally adopted general AI-practice opinion; advertising and intake-specific analysis remain outside its scope","Acquire current SCR 3.130(1.18) text before final jurisdiction card",open
2026-08-06,Codex,Idaho Supreme Court and State Bar,"Idaho Rule 1.18 prospective client current official",official court and bar domains,current,Idaho,5,0,"search did not yield a sufficiently reliable current consolidated primary text in this pass","Keep Idaho open; retry official rulebook acquisition and exact pinpoints",open
