source_id,title,issuing_body,date,version_or_status,url,source_type,jurisdiction,authority_level,propositions,limitations,last_verified
S001,"Model Rule 1.18: Duties to Prospective Client","American Bar Association",unknown,current webpage,"https://www.americanbar.org/groups/professional_responsibility/publications/model_rules_of_professional_conduct/rule_1_18_duties_of_prospective_client/","model rule","United States model baseline","nonbinding model authority","prospective-client status; use and disclosure duties; disqualification framework","not controlling unless adopted; adopted text and interpretations vary by jurisdiction","2026-08-04"
S002,"Formal Opinion 512: Generative Artificial Intelligence Tools","ABA Standing Committee on Ethics and Professional Responsibility","2024-07-29",Formal Opinion 512,"https://www.americanbar.org/content/dam/aba/administrative/professional_responsibility/ethics-opinions/aba-formal-opinion-512.pdf","formal ethics opinion","United States model baseline","official nonbinding guidance","competence; confidentiality; communication; supervision; candor; fees when lawyers use GAI","does not create binding nationwide law; addresses GAI generally rather than prospective-client intake specifically","2026-08-04"
S003,"Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile","National Institute of Standards and Technology","2024-07",NIST AI 600-1,"https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence","federal voluntary profile","United States / cross-sector","official voluntary standard","confabulation; data privacy; information integrity; human-AI configuration; value-chain risks; testing and monitoring","voluntary and cross-sector; does not state legal-ethics duties","2026-08-04"
S004,"AI Companies: Uphold Your Privacy and Confidentiality Commitments","Federal Trade Commission Office of Technology","2024-01-09",current webpage,"https://www.ftc.gov/policy/advocacy-research/tech-at-ftc/2024/01/ai-companies-uphold-your-privacy-confidentiality-commitments","regulator staff statement","United States federal","official nonbinding regulator statement","AI providers' privacy and confidentiality representations; sensitive customer and end-user data; data-use risk","not a rule or adjudication and not legal-specific","2026-08-04"
S005,"Generative AI Practical Guidance","State Bar of California","2026-05-14","2026 replacement guidance","https://www.calbar.ca.gov/Portals/0/documents/ethics/Generative-AI-Practical-Guidance.pdf","state-bar practical guidance","California","official nonbinding guidance","application of competence; confidentiality; communication; candor and related duties to GAI and agentic AI","California-specific; educational guidance rather than legal advice; replaces 2023 version","2026-08-04"
S006,"Opinion 24-1","The Florida Bar","2024-01-19","Florida Ethics Opinion 24-1","https://www.floridabar.org/etopinions/opinion-24-1/","state-bar advisory ethics opinion","Florida","official advisory nonbinding opinion","confidentiality; competence and accuracy; fees; advertising when lawyers use GAI","expressly advisory and nonbinding; not intake-specific","2026-08-04"
S007,"Formal Opinion 2024-5: Generative AI in the Practice of Law","New York City Bar Association Committee on Professional Ethics","2024-08-07","Formal Opinion 2024-5","https://www.nycbar.org/reports/formal-opinion-2024-5-generative-ai-in-the-practice-of-law/","local-bar formal ethics opinion","New York","official bar guidance / persuasive authority","competence; confidentiality; supervision; disclosure and other duties regarding GAI","scope and legal effect must not be generalized to all New York or U.S. lawyers","2026-08-04"
S008,"Legal Ethics Opinion 1901: Reasonable Fees and the Use of Generative Artificial Intelligence","Virginia State Bar / Supreme Court of Virginia","2025-11-24","approved and effective","https://vsb.org/Site/Site/news/RulesFiltered/rule-changes-typefilter-leo.aspx","state legal ethics opinion","Virginia","official approved ethics opinion","reasonable fees when GAI makes work more efficient","focused on fees; not prospective-client intake; status changed after its 2025 proposal stage","2026-08-04"
S009,"Formal Opinion 2025-6: Ethical Issues Affecting Use of AI to Record Transcribe and Summarize Conversations with Clients","New York City Bar Association Committee on Professional Ethics","2025-12-22","Formal Opinion 2025-6","https://www.nycbar.org/reports/formal-opinion-2025-6-ethical-issues-affecting-use-of-ai-to-record-transcribe-and-summarize-conversations-with-clients/","local-bar formal ethics opinion","New York","official bar guidance / persuasive authority","consent; tactical assessment; confidentiality and privilege; accuracy checking for preserved AI summaries","concerns client conversations rather than web-form prospective-client intake; analogy must be labeled","2026-08-04"
S010,"Formal Opinion 510: Avoiding Imputation of a Conflict of Interest When a Law Firm Is Adverse to One of Its Lawyer's Prospective Clients","ABA Standing Committee on Ethics and Professional Responsibility","2024-03-20","Formal Opinion 510","https://www.americanbar.org/groups/professional_responsibility/publications/ethics_opinions/aba_formal_ethics_opinions_index_by_issue_dates/","formal ethics opinion","United States model baseline","official nonbinding guidance","prospective-client conflicts and imputation context","not an AI opinion; full opinion and precise application require acquisition and pinpoint review","2026-08-04"
